"TITLE","DESCRIPTION","ARCHITECT","ADDRESS"
"Самойлову П. В., мемориальная доска"," Самойлову П. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1898 года жил и в 1931 году умер заслуженный артист РСФСР Павел Васильевич Самойлов»1956. Арх. Варакин И. И. Мрамор.Аптекарский пер., 6 Персоны Варакин И. И. Самойлов Павел Васильевич Адреса Аптекарский пер./Санкт-Петербург, д. 6 ","1956. Арх. Варакин И. И. Мрамор.","Аптекарский пер./Санкт-Петербург, д. 6"
"Саянову В. М., мемориальная доска"," Саянову В. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1934 по 1959 г. жил писатель Виссарион Михайлович Саянов»1960. Арх. Васильковский В.С. Мрамор.Чебоксарский пер., 2/9. Персоны Васильковский В. С. Саянов Виссарион Михайлович Адреса Чебоксарский пер./Санкт-Петербург, д. 2/9 ","1960. Арх. Васильковский В.С. Мрамор.","Чебоксарский пер./Санкт-Петербург, д. 2/9"
"Свердлову Я. М. и Крупской Н. К., мемориальная доска"," Свердлову Я. М. и Крупской Н. К., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь в апреле-июне 1917 года работали Я.М. Свердлов и Н.К. Крупская»1960-е. Мрамор.1990-е - демонтирована.Куйбышева ул., 4. Музей политической истории России (в здании). Персоны Крупская Надежда Константиновна Свердлов Яков Михайлович Адреса Куйбышева ул./Санкт-Петербург, д. 4 Предметный указатель Политической истории России музей Политической истории России музей ","1960-е. Мрамор.","Куйбышева ул./Санкт-Петербург, д. 4"
"Свердлову Я. М., мемориальная доска"," Свердлову Я. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с сентября 1917 г. по январь 1918 г. жил один из выдающихся организаторов и строителей Коммунистической партии и Советского государства Яков Михайлович Свердлов»1962. Арх. Попов В.В. Гранит.1994 - демонтирована в связи с ремонтом здания.Фурштатская ул., 27. Персоны Попов Владимир Васильевич Свердлов Яков Михайлович Адреса Фурштатская ул./Санкт-Петербург, д. 27 ","1962. Арх. Попов В.В. Гранит.","Фурштатская ул./Санкт-Петербург, д. 27"
"Семашко Н. А., мемориальная доска"," Семашко Н. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Семашко Николай Александрович. 1874–1949. Первый народный комиссар здравоохранения РСФСР. В 1923 г. Кронштадтскому военно-морскому госпиталю присвоено имя Н.А. Семашко»Мрамор.г. Кронштадт, Мануильского ул., 2. Военно-морской госпиталь. Персоны Семашко Николай Александрович Адреса Мануильского ул./Кронштадт г., д. 2 ","Мрамор.",NA
"Семенову Н. Н., мемориальная доска"," Семенову Н. Н., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь работал с 1921 по 1938 год академик Семенов Николай Николаевич (1896–1986), лауреат Нобелевской премии, дважды Герой Социалистического Труда»1994. Арх. Уханов Ю. И. Гранит.Политехническая ул., 29. Технический университет. Персоны Семенов Николай Николаевич Уханов Ю. И. Адреса Политехническая ул./Санкт-Петербург, д. 29 Предметный указатель Политехнический университет СПб гос. ","1994. Арх. Уханов Ю. И. Гранит.","Политехническая ул./Санкт-Петербург, д. 29"
"Семенову-Тян-Шанскому П. П., мемориальная доска"," Семенову-Тян-Шанскому П. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1863 года жил и в 1914 году умер Петр Петрович Семенов-Тян-Шанский»1927 – первоначально установлена.1954 – возобновлена. Скульптор Робачевский Р. И. Мрамор.В.О., 8-я линия, 39 (Ф-124) Персоны Робачевский Р. И. Семенов-Тян-Шанский Петр Петрович Адреса 8-я линия В.О./Санкт-Петербург, д. 39 ","1927 – первоначально установлена.","8-я линия В.О./Санкт-Петербург, д. 39"
"Сергееву К. М., мемориальная доска"," Сергееву К. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «1910–1992. В этом доме с 1951 жил великий танцовщик и балетмейстер, первый президент Академии русского балета Константин Михайлович Сергеев»1994. Арх. Бухаев В. Б., скульпторы Аникушин М. К., Литовченко М. Т. Гранит,бронза.Каменноостровский пр., 2 (Ф-242) Персоны Аникушин Михаил Константинович Бухаев Вячеслав Борисович Литовченко Мария Тимофеевна Сергеев Константин Михайлович Адреса Каменноостровский пр./Санкт-Петербург, д. 2 ","1994. Арх. Бухаев В. Б., скульпторы Аникушин М. К., Литовченко М. Т. Гранит,бронза.","Литовченко Мария Тимофеевна"
"Серебрякову П. А., мемориальная доска"," Серебрякову П. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1939 по 1977 год жил народный артист СССР Павел Алексеевич Серебряков»1984. Арх. Полторацкий Е. М. Мрамор.Бородинская ул., 13. (Ф-243) Персоны Полторацкий Евгений Михайлович Серебряков Павел Алексеевич Адреса Бородинская ул./Санкт-Петербург, д. 13 ","1984. Арх. Полторацкий Е. М. Мрамор.","Бородинская ул./Санкт-Петербург, д. 13"
"Серову А. Н., мемориальная доска"," Серову А. Н., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Композитор Александр Николаевич Серов род. в С.П.Б. 11 Января 1820 г. † в этом доме 20 Января 1871 г. От Музыкально-исторического о-ва имени графа А.Д. Шереметева»1910-е гг. Мрамор. В.О., 15-я линия, 8. (Ф-244) Персоны Серов Александр Николаевич Адреса 15-я линия В.О./Санкт-Петербург, д. 8 ","1910-е гг. Мрамор. ",NA
"Сеченову И. М., мемориальная доска"," Сеченову И. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь работал с 1860 года по 1870 год основоположник отечественной физиологии и экспериментальной психологии, выдающийся ученый и общественный деятель Иван Михайлович Сеченов»1979. Арх. Пионтек Г. В. Мрамор.Пироговская наб., 3. Военно-медицинская академия. (Ф-125) Персоны Пионтек Г. В. Сеченов Иван Михайлович Адреса Пироговская наб./Санкт-Петербург, д. 3 Предметный указатель Военно-медицинская академия ","1979. Арх. Пионтек Г. В. Мрамор.","Пироговская наб./Санкт-Петербург, д. 3"
"Сеченову И. М., мемориальная доска"," Сеченову И. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этой аудитории 3 (15) ноября 1863 года в публичной лекции, прочитанной в пользу нуждающихся студентов Медико-хирургической академии, И.М. Сеченов впервые изложил содержание будущей книги “Рефлексы головного мозга”»1981. Арх. Пионтек Г.В. Мрамор.Пироговская наб., 1. Военно-медицинская академия, в здании. Персоны Пионтек Г. В. Сеченов Иван Михайлович Адреса Пироговская наб./Санкт-Петербург, д. 1 Предметный указатель Военно-медицинская академия ","1981. Арх. Пионтек Г.В. Мрамор.","Пироговская наб./Санкт-Петербург, д. 1"
"Симонову Н. К., мемориальная доска"," Симонову Н. К., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1946 по 1973 год жил выдающийся советский артист, Герой Социалистического Труда, народный артист СССР Николай Константинович Симонов»1976. Арх. Милорадович Т. Н., скульптор Игнатьев А. М. Бронза.Гагаринская ул., 11 (Ф-245) Персоны Игнатьев Александр Михайлович Милорадович Т. Н. Симонов Николай Константинович Адреса Гагаринская ул./Санкт-Петербург, д. 11 ","1976. Арх. Милорадович Т. Н., скульптор Игнатьев А. М. Бронза.","Симонов Николай Константинович"
"Скоробогатову К. В., мемориальная доска"," Скоробогатову К. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1951 по 1969 год жил народный артист СССР, лауреат Государственных премий Константин Васильевич Скоробогатов»1973. Арх. Егоров М. Ф. Гранит.Дворцовая наб., 14. Персоны Егоров Михаил Федорович Скоробогатов Константин Васильевич Адреса Дворцовая наб./Санкт-Петербург, д. 14 ","1973. Арх. Егоров М. Ф. Гранит.","Дворцовая наб./Санкт-Петербург, д. 14"
"Скороходову А. К., мемориальная доска"," Скороходову А. К., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Трамвайный парк имени Александра Касторовича Скороходова. Рабочий-слесарь. Партийные имена Кастрыч и т. Алексей. Род. в 1882 г., из крестьян Костромской губ., член Р.К.П. (б.) с 1912 г. В 1917–1918 гг. — председатель районного Совета и районного комитета Р.К.П. (б.) на Петроградской стороне в Ленинграде. Расстрелян белыми в Харькове летом 1919 г. на партийном посту»1929. Мрамор. 2004 - утрачена после ликвидации трампарка и реконструкции здания.Барочная ул., 12. Трамвайный парк. (Ф-59) Персоны Скороходов Александр Касторович Адреса Барочная ул./Санкт-Петербург, д. 12 ","1929. Мрамор. ",NA
"Скочинскому А. А., мемориальная доска"," Скочинскому А. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь в 1895–1930 гг. учился и работал крупнейший ученый, основоположник рудничной аэрологии, академик Александр Александрович Скочинский»1961. Скульптор Робачевский Р.И. Мрамор.2006 - по инициативе Горного института мраморная доска заменена на гранитную. Лейтенанта Шмидта наб., 45. Горный институт. Авторы Лейкинд Олег Леонидович Северюхин Дмитрий Яковлевич Персоны Робачевский Р. И. Скочинский Александр Александрович Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 45 Предметный указатель Горный институт им. Г.В.Плеханова СПб. гос. ","1961. Скульптор Робачевский Р.И. Мрамор.","Робачевский Р. И."
"Смирдину А. Ф., мемориальная доска"," Смирдину А. Ф., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1830-х годах находились библиотека и книжная лавка известного книгоиздателя Александра Филлиповича Смирдина. Здесь встречались А.С. Пушкин, И.А. Крылов, В.А. Жуковский, Н.В. Гоголь и другие русские писатели и поэты»1997. Арх. Милорадович Т.Н. Известняк.Невский пр., 22. (Ф-246) Персоны Гоголь Николай Васильевич Жуковский Василий Андреевич Крылов Иван Андреевич Милорадович Т. Н. Пушкин Александр Сергеевич Смирдин Александр Филиппович Адреса Невский пр./Санкт-Петербург, д. 22 ","1997. Арх. Милорадович Т.Н. Известняк.","Крылов Иван Андреевич"
"Смирнову В. С., мемориальная доска"," Смирнову В. С., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Трамвайный парк имени Василия Сергеевича Смирнова. Член Р.К.П. (б.) 1917 г., крестьянин Тверской губ. Поступил на Г.Ж.Д. кондуктором 1/8 1912 г. Заведывающий службой движения. Член Совета Управления Г.Ж.Д. Мобилизован на Южный фронт. Председатель коммунистической ячейки при продовольственной комиссии 9-й дивизии 13 армии. Умер от сыпного тифа в г. Таганроге 27/2 1920 г.»1929-1930. Мрамор.2006 - демонтирована в связи с ликвидацией трампарка.Дегтярный пер., 3. Трамвайный парк. Персоны Смирнов Василий Сергеевич Адреса Дегтярный пер./Санкт-Петербург, д. 3 ","1929-1930. Мрамор.",NA
"Смоленскому Г. А., мемориальная доска"," Смоленскому Г. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании с 1972 года по 1980 год работал видный советский физик, член-корреспондент АН СССР Георгий Анатольевич Смоленский»1990. Арх. Гепнер Ф. А. Мрамор.Заповедная ул., 51. Физико-технический институт им. А.Ф. Иоффе. Персоны Гепнер Филипп Аронович Смоленский Георгий Анатольевич Адреса Заповедная ул./Санкт-Петербург, д. 51 Предметный указатель Физико-технический институт им. А.Ф.Иоффе РАН ","1990. Арх. Гепнер Ф. А. Мрамор.","Заповедная ул./Санкт-Петербург, д. 51"
"Смоленскому Г. А., мемориальная доска"," Смоленскому Г. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1974 года по 1980 год жил видный советский физик, член-корреспондент АН СССР Георгий Анатольевич Смоленский»1990. Арх. Гепнер Ф. А. Гранит.Энгельса пр., 63, корп. 3. Персоны Гепнер Филипп Аронович Смоленский Георгий Анатольевич Адреса Энгельса пр./Санкт-Петербург, д. 63, корп. 3 ","1990. Арх. Гепнер Ф. А. Гранит.","Энгельса пр./Санкт-Петербург, д. 63, корп. 3"
"Смородину П.И., мемориальная доска"," Смородину П.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1929 по 1933 год жил один из организаторов комсомола, Первый секретарь ЦК РКСМ в 1921–1924 годах, видный партийный деятель Петр Иванович Смородин»1988. Арх. Исаева В. В., Пахомова Е. Е., скульптор Виноградов А.А. Гранит, бронза.В.О., Большой пр., 57. (Ф-60) Персоны Виноградов А. А. Исаева Вера Васильевна Пахомова Е. Е. Смородин Петр Иванович Адреса Большой пр. В. О./Санкт-Петербург, д. 57 ","1988. Арх. Исаева В. В., Пахомова Е. Е., скульптор Виноградов А.А. Гранит, бронза.","Пахомова Е. Е."
"Собинову Л. В., мемориальная доска"," Собинову Л. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1915 г. по 1929 г. жил великий русский певец Леонид Витальевич Собинов»1959. Арх. Егоров М. Ф., скульпторы Далиненко А. И., Татарович В. И., Ястребенецкий Г. Д. Гранит, мрамор.Чайковского ул., 8. (Ф-247) Персоны Далиненко Алексей Ильич Егоров Михаил Федорович Собинов Леонид Витальевич Татарович Владимир Игонатьевич Ястребенецкий Григорий Данилович Адреса Чайковского ул./Санкт-Петербург, д. 8 ","1959. Арх. Егоров М. Ф., скульпторы Далиненко А. И., Татарович В. И., Ястребенецкий Г. Д. Гранит, мрамор.","Собинов Леонид Витальевич"
"Соболевскому П. Г., мемориальная доска"," Соболевскому П. Г., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1824 по 1841 год работал крупнейший металлург, член-корреспондент Академии наук Петр Григорьевич Соболевский»1974. Арх. Сайботалов Х. Г. Мрамор.2006 - по инициативе Горного института мраморная доска заменена на гранитную.В.О., 21-я линия, 2. Горный институт. Персоны Сайботалов Х. Г. Соболевский Петр Григорьевич Адреса 21-я линия В.О./Санкт-Петербург, д. 2 Предметный указатель Горный институт им. Г.В.Плеханова СПб. гос. ","1974. Арх. Сайботалов Х. Г. Мрамор.","21-я линия В.О./Санкт-Петербург, д. 2"
"Соболеву Л. С., мемориальная доска"," Соболеву Л. С., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1924 по 1971 год жил и работал писатель Леонид Сергеевич Соболев»1976. Арх. Васильковский В. С., Милорадович Т. Н. Гранит.Шпалерная ул., 30. Персоны Васильковский В. С. Милорадович Т. Н. Соболев Леонид Сергеевич Адреса Шпалерная ул./Санкт-Петербург, д. 30 ","1976. Арх. Васильковский В. С., Милорадович Т. Н. Гранит.","Соболев Леонид Сергеевич"
"Сокову В. А., мемориальная доска"," Сокову В. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1936 по 1942 гг. жил основоположник отечественной шашечной школы Василий Александрович Соков. Погиб в боях под Нарвой»1992. Арх. Мантуров М. В. Гранит.Моховая ул., 32. Персоны Мантуров М. В. Соков Василий Александрович Адреса Моховая ул./Санкт-Петербург, д. 32 ","1992. Арх. Мантуров М. В. Гранит.","Моховая ул./Санкт-Петербург, д. 32"
"Соколовой  Е., мемориальная доска"," Соколовой Е., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Соколова Евгения (1901–1920) — дочь петроградского рабочего. В 17 лет — член большевистской партии, ведет большую общественно-политическую работу в типографии. В 1920 году бесстрашная разведчица, выполняя задание командования Красной Армии на Польском фронте, была схвачена и замучена белополяками. В 1922 г. типографии бывшего Товарищества издательского и печатного дела А.Ф. Маркса по просьбе трудящихся было присвоено имя Евгении Соколовой»1960-е. Мрамор.С 1990-х гг. - данных нет.Измайловский пр., 2. Типография (в здании). Персоны Соколова Евгения Адреса Измайловский пр./Санкт-Петербург, д. 2 ","1960-е. Мрамор.",NA
"Соколову Т. Н., мемориальная доска"," Соколову Т. Н., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1950 года по 1979 год жил видный советский ученый в области автоматизированных систем управления, Герой Социалистического Труда, лауреат Ленинской и Государственных премий, профессор, доктор технических наук Тарас Николаевич Соколов. 1911–1979»1982. Арх. Пастернак Я. П. Мрамор.Политехническая ул., 29. Технический университет, 2-й профессорский корпус. Персоны Пастернак Я. П. Соколов Тарас Николаевич Адреса Политехническая ул./Санкт-Петербург, д. 29 Предметный указатель Политехнический университет СПб гос. ","1982. Арх. Пастернак Я. П. Мрамор.","Политехническая ул./Санкт-Петербург, д. 29"
"Соколову Т. Н., мемориальная доска"," Соколову Т. Н., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1952 года по 1972 год работал видный советский ученый в области автоматизированных систем управления, Герой Социалистического Труда, лауреат Ленинской и Государственных премий, профессор, доктор технических наук Тарас Николаевич Соколов (1911–1979)»1982. Арх. Пастернак Я. П. Мрамор.Политехническая ул., 29. Технический университет, 2-й учебный корпус. Персоны Пастернак Я. П. Соколов Тарас Николаевич Адреса Политехническая ул./Санкт-Петербург, д. 29 Предметный указатель Политехнический университет СПб гос. ","1982. Арх. Пастернак Я. П. Мрамор.","Политехническая ул./Санкт-Петербург, д. 29"
"Соловьеву З. П., мемориальная доска"," Соловьеву З. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Приказом Революционного военного совета РСФСР от 29 ноября 1923 года госпиталь назван: Петроградский Центральный Краснознаменный имени заместителя Наркомздрава и начальника Главсанупра З.П. Соловьева военный госпиталь. Соловьев Зиновий Петрович (1876–1928) — ученик и соратник В.И. Ленина, выдающийся теоретик и организатор советского здравоохранения, основоположник советской медицины, врач-большевик»1963. Мрамор.Суворовский пр., 63. Окружной военный госпиталь, в здании. Персоны Соловьев Зиновий Петрович Адреса Суворовский пр./Санкт-Петербург, д. 63 Предметный указатель Окружной военный клинический госпиталь им. З. П. Соловьева ","1963. Мрамор.","Окружной военный клинический госпиталь им. З. П. Соловьева"
"Соловьеву Н.В., мемориальная доска"," Соловьеву Н.В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1938 по 1946 год жил Николай Васильевич Соловьев, председатель Исполкома Ленинградского областного Совета депутатов трудящихся в годы Великой Отечественной войны»1984. Арх. Бухаев В. Б. Гранит.Кронверкская ул., 27. Персоны Бухаев Вячеслав Борисович Соловьев Николай Васильевич Адреса Кронверкская ул./Санкт-Петербург, д. 27 ","1984. Арх. Бухаев В. Б. Гранит.","Кронверкская ул./Санкт-Петербург, д. 27"
"Соловьеву-Седому  В. П., мемориальная доска"," Соловьеву-Седому В. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В память о творческом содружестве трудящихся Балтийского завода с Героем Социалистического Труда, лауреатом Ленинской и Государственных премий, народным артистом СССР, композитором Василием Павловичем Соловьевым-Седым»1983. Бронза.В.О., Большой пр., 65. ДК им. Орджоникидзе, внутри здания. Персоны Соловьев-Седой (наст. фам. Соловьев) Василий Павлович Адреса Большой пр. В. О./Санкт-Петербург, д. 65 ","1983. Бронза.",NA
"Соловьеву-Седому В. П., мемориальная доска"," Соловьеву-Седому В. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1950 по 1979 год жил и работал выдающийся советский композитор, Герой Социалистического Труда, народный артист СССР Василий Павлович Соловьев-Седой»1982. Арх. Гепнер Ф. А., скульптор Аникушин М. К. Гранит, бронза.Фонтанки реки наб., 131. (Ф-248) Персоны Аникушин Михаил Константинович Гепнер Филипп Аронович Соловьев-Седой (наст. фам. Соловьев) Василий Павлович Адреса Фонтанки р. наб./Санкт-Петербург, д. 131 ","1982. Арх. Гепнер Ф. А., скульптор Аникушин М. К. Гранит, бронза.","Соловьев-Седой (наст. фам. Соловьев) Василий Павлович"
"Сомову М. М., мемориальная доска"," Сомову М. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жил с 1946 по 1968 гг. Герой Советского Союза, полярный исследователь Михаил Михайлович Сомов»1982. Арх. Пастернак Я. П., скульптор Сычев В. И. Гранит, бронза.Ленина пл., 3 (Ф-126) Персоны Пастернак Я. П. Сомов Михаил Михайлович Сычев В. И. Адреса Ленина пл./Санкт-Петербург, д. 3 ","1982. Арх. Пастернак Я. П., скульптор Сычев В. И. Гранит, бронза.","Сычев В. И."
"Сперанскому М.М., мемориальная доска"," Сперанскому М.М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1823 по 1832 год жил выдающийся государственный деятель Михаил Михайлович Сперанский»1998. Арх. Милорадович Т. Н. Мрамор.Невский пр., 42 Персоны Милорадович Т. Н. Сперанский Михаил Михайлович Адреса Невский пр./Санкт-Петербург, д. 42 ","1998. Арх. Милорадович Т. Н. Мрамор.","Невский пр./Санкт-Петербург, д. 42"
"Спиридову Г. А. [и другим флотоводцам, учившимся в Морском кадетском корпусе], мемориальная доска"," Спиридову Г. А. [и другим флотоводцам, учившимся в Морском кадетском корпусе], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учились выдающиеся русские флотоводцы:адмирал Спиридов Григорий Андреевич с 1725 по 1732 гг.,адмирал Ушаков Федор Федорович с 1761 по 1766 гг.,адмирал Сенявин Дмитрий Николаевич с 1773 по 1780 гг.,адмирал Нахимов Павел Степанович с 1815 по 1818 гг.,адмирал Бутаков Григорий Иванович с 1831 по 1837 гг.»1971. Мрамор.Лейтенанта Шмидта наб., 17. Морской корпус Петра Великого. Персоны Бутаков Григорий Иванович Нахимов Павел Степанович Сенявин Дмитрий Николаевич Спиридов Григорий Андреевич Ушаков Федор Федорович Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 17 Предметный указатель Военно-морской институт, СПб ","адмирал Ушаков Федор Федорович с 1761 по 1766 гг.,","Сенявин Дмитрий Николаевич"
"Стародубцеву С. В., мемориальная доска"," Стародубцеву С. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь в 1942–1957 гг. работал академик Стародубцев Сергей Васильевич, выдающийся советский ученый в области ядерной физики»1965. Мрамор.Ждановская наб., 13. Военно-инженерная космическая академия им. А.Ф. Можайского. Персоны Стародубцев Сергей Васильевич Адреса Ждановская наб./Санкт-Петербург, д. 13 Предметный указатель Военный инженерно-космический университет им. А.Ф.Можайского ","1965. Мрамор.","Военный инженерно-космический университет им. А.Ф.Можайского"
"Стасову  В. П., мемориальная доска"," Стасову В. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1817 по 1830 год жил и работал выдающийся русский архитектор Василий Петрович Стасов»1970. Арх. Милорадович Т. Н. Мрамор.В.О. 1-я линия, 18. Персоны Милорадович Т. Н. Стасов Василий Петрович Адреса 1-я линия В.О./Санкт-Петербург, д. 18 ","1970. Арх. Милорадович Т. Н. Мрамор.","1-я линия В.О./Санкт-Петербург, д. 18"
"Стасову В. В., мемориальная доска"," Стасову В. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1854 по 1873 г. жил и работал выдающийся русский художественный критик Владимир Васильевич Стасов»1955. Мрамор.Моховая ул., 26. Персоны Стасов Владимир Васильевич Адреса Моховая ул./Санкт-Петербург, д. 26 ","1955. Мрамор.",NA
"Стасову В. В., мемориальная доска"," Стасову В. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1855 г. по 1906 г. работал выдающийся деятель русской культуры Владимир Васильевич Стасов»1957. Арх. Егоров М.Ф., скульптор Клюге Ю. Г. Мрамор.Островского пл., 1, Российская национальная библиотека. (Ф-250) Персоны Егоров Михаил Федорович Клюге Ю. Г. Стасов Владимир Васильевич Адреса Островского пл./Санкт-Петербург, д. 1 Предметный указатель Российская национальная библиотека ","1957. Арх. Егоров М.Ф., скульптор Клюге Ю. Г. Мрамор.","Стасов Владимир Васильевич"
"Стасову В. П., мемориальная доска"," Стасову В. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь жил и 5 сентября 1848 г. умер зодчий Василий Петрович Стасов»1948. Арх. Васильев А. В. Мрамор.Галерная ул., 40. (Ф-249) Персоны Васильев А.В. Стасов Василий Петрович Адреса Галерная ул./Санкт-Петербург, д. 40 ","1948. Арх. Васильев А. В. Мрамор.","Галерная ул./Санкт-Петербург, д. 40"
"Стеклову В.А., мемориальная доска"," Стеклову В.А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь жил академик Владимир Андреевич Стеклов. 1863–1926. Выдающийся математик»1950. Арх. Каплан-Ингель Р. И. Гальванопластика.Лейтенанта Шмидта наб., 1/2 (Ф-127) Персоны Каплан-Ингель Роберт Исаакович Стеклов Владимир Андреевич Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ","1950. Арх. Каплан-Ингель Р. И. Гальванопластика.","Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2"
"Степанову Г. В., мемориальная доска"," Степанову Г. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1936 по 1960 год жил выдающийся советский лингвист, академик Георгий Владимирович Степанов»1990. Арх. Бухаев В. Б. Гранит.Некрасова ул., 17. (Ф-128) Персоны Бухаев Вячеслав Борисович Степанов Георгий Владимирович Адреса Некрасова ул./Санкт-Петербург, д. 17 ","1990. Арх. Бухаев В. Б. Гранит.","Некрасова ул./Санкт-Петербург, д. 17"
"Стравинскому И. Ф., мемориальная доска"," Стравинскому И. Ф., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1882 по 1908 год жил и работал выдающийся русский композитор Игорь Федорович Стравинский»1991. Арх. Исаева В.В., скульптор Нейман Я.Я. Бронза.1998 - утрачена.2003 - воссоздана в норвежском лабродоните.Крюкова канала наб., 6. (Ф-251) Персоны Исаева Вера Васильевна Нейман Ян Янович Стравинский Игорь Федорович Адреса Крюкова кан. наб./Санкт-Петербург, д. 6 ","1991. Арх. Исаева В.В., скульптор Нейман Я.Я. Бронза.","Стравинский Игорь Федорович"
"Стржельчику В. И., мемориальная доска"," Стржельчику В. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Выдающийся артист Владислав Игнатьевич Стржельчик жил в этом доме с 1971 по 1990 год»1997. Арх. Садовский Т. П. Мрамор.Бассейная ул., 47 Персоны Садовский Тимофей Петрович Стржельчик Владислав Игнатьевич Адреса Бассейная ул./Санкт-Петербург, д. 47 ","1997. Арх. Садовский Т. П. Мрамор.","Бассейная ул./Санкт-Петербург, д. 47"
